"userId";"Sueldo";"FechaIngreso"
4;15000.0;"2000-01-11"
5;7812.0;"2000-01-18"
6;7812.0;"2000-01-18"
7;10200.0;"2000-01-18"
8;10200.0;"2000-01-18"
9;13800.0;"2001-05-20"
10;13800.0;"2001-05-20"
11;18880.0;"2001-05-20"
12;18880.0;"2001-05-20"
13;8000.0;"2001-07-13"
14;8000.0;"2001-07-13"
15;6000.0;"2001-07-13"
16;19470.0;"2001-07-13"
17;19470.0;"2001-07-13"
18;10200.0;"2001-07-16"
19;10200.0;"2001-07-16"
20;25000.0;"2001-07-16"
21;7812.0;"2001-07-16"
22;7812.0;"2001-07-16"
23;12210.0;"2001-11-24"
24;12210.0;"2001-11-24"
25;7500.0;"2001-11-24"
26;15020.0;"2001-11-24"
27;15020.0;"2001-11-24"
28;25000.0;"2001-11-24"
29;7812.0;"2001-11-24"
30;15020.0;"2001-12-12"
31;15020.0;"2001-12-12"
32;12210.0;"2001-12-12"
33;12210.0;"2001-12-12"
34;19470.0;"2008-08-17"
35;19470.0;"2008-08-17"
36;8000.0;"2008-08-17"
37;8000.0;"2008-08-17"
38;18880.0;"2009-06-11"
39;18880.0;"2009-06-11"
41;13800.0;"2009-06-11"
42;13800.0;"2009-06-11"
43;15000.0;"2009-10-06"
44;15000.0;"2009-10-06"
45;13000.0;"2009-10-06"
46;8837.0;"2009-10-06"
47;100000000000.0;"2000-08-08"
